ČÍSLO,OBEC,POČET VOLIČŮ,VYDANÉ OBÁLKY,PLATNÉ HLASY,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍ-stop migraci.diktát.EU,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533556,Ohaře,242,142,140,8,0,0,8,0,20,19,2,1,3,0,0,17,0,0,2,40,0,0,9,0,0,0,1,9,1
533572,Ovčáry,623,401,400,32,1,0,27,0,91,45,1,4,4,0,1,19,0,0,7,120,0,1,8,0,1,0,0,34,4
513423,Pašinka,288,175,174,12,0,1,4,0,34,13,1,2,1,0,0,26,0,0,4,55,0,1,6,0,0,0,0,14,0
537641,Pečky,3640,2266,2253,247,6,0,164,0,242,254,24,18,34,1,2,217,1,2,88,637,0,1,55,1,10,4,4,234,7
533581,Plaňany,1411,742,735,56,13,0,49,0,103,106,8,7,13,1,1,43,0,0,23,223,0,3,8,2,0,0,0,73,3
537675,Pňov-Předhradí,447,279,279,18,0,0,24,0,49,25,2,2,2,0,0,18,0,0,8,88,0,1,17,0,0,0,1,24,0
533599,Polepy,551,390,389,35,0,0,16,0,93,24,4,0,5,0,0,43,0,0,15,114,1,0,9,0,1,0,0,29,0
513237,Polní Chrčice,144,99,98,7,0,0,6,0,18,7,1,2,4,0,0,7,0,0,2,36,0,1,0,0,0,0,0,7,0
513148,Polní Voděrady,134,91,91,5,1,0,9,0,13,12,1,0,0,1,0,6,0,0,2,29,0,0,2,0,0,0,0,10,0
537705,Poříčany,1156,799,795,97,3,0,43,2,64,46,18,16,14,1,0,88,0,0,47,260,0,2,26,0,7,1,1,57,2
513369,Přehvozdí,218,159,158,21,1,0,7,1,17,9,1,2,1,0,0,18,0,0,9,45,0,1,0,0,1,1,0,20,3
513393,Přistoupim,355,233,230,23,2,0,12,0,14,13,2,0,1,0,0,34,0,0,13,86,0,0,6,0,2,1,0,20,1
533611,Přišimasy,605,362,361,50,1,4,15,1,31,13,4,0,7,0,1,57,0,0,34,79,0,0,14,0,1,3,0,46,0
533629,Radim,945,599,594,38,4,0,40,0,87,71,5,4,15,0,4,52,0,0,19,156,1,1,12,0,4,3,0,74,4
533637,Radovesnice I,296,222,221,31,0,0,20,0,50,18,1,0,3,0,1,16,0,0,11,50,0,1,2,0,0,1,0,16,0
533645,Radovesnice II,405,249,248,15,0,0,37,1,27,35,1,1,0,0,0,17,0,0,13,66,0,1,2,0,3,0,0,29,0
533653,Ratboř,468,317,315,29,0,0,31,0,49,25,1,0,0,0,0,37,0,0,15,98,0,0,2,1,7,0,0,20,0
537748,Ratenice,470,286,282,23,1,0,20,0,40,30,4,2,2,0,0,27,0,0,13,83,0,1,7,0,0,1,0,28,0
533661,Rostoklaty,385,222,219,37,1,0,17,0,18,16,4,0,5,0,0,32,0,0,10,58,0,1,2,0,4,0,1,13,0
533696,Skvrňov,160,105,105,8,0,0,13,0,7,12,0,0,0,0,0,10,0,0,12,32,0,0,2,0,0,0,1,8,0
533700,Starý Kolín,1265,799,780,81,3,0,64,1,123,53,3,6,7,0,0,56,0,0,18,246,0,0,15,0,4,0,0,99,1
533726,Svojšice,461,236,236,13,0,0,14,0,32,24,4,1,0,2,0,18,0,1,4,90,0,0,5,0,4,0,2,20,2
537888,Tatce,501,329,327,32,3,0,31,0,33,37,2,6,3,1,0,25,0,0,17,76,0,1,9,0,1,1,0,45,4
533734,Tismice,401,215,215,32,2,1,8,0,13,11,1,1,2,0,0,21,0,0,13,80,0,0,7,0,4,1,1,16,1
533742,Toušice,326,200,199,9,0,1,27,0,27,32,9,0,2,0,1,10,0,0,13,42,0,0,3,0,1,1,1,20,0
533751,Třebovle,385,251,251,37,0,0,14,0,32,32,1,6,3,0,1,24,0,0,11,70,0,0,2,0,0,0,0,17,1
533769,Tři Dvory,792,555,554,46,0,0,47,1,124,60,1,1,6,0,0,31,0,0,13,162,0,1,6,0,0,0,0,50,5
533777,Tuchoraz,343,193,193,17,0,0,9,0,12,12,4,3,3,0,0,31,0,0,8,77,0,0,2,0,1,1,0,13,0
533785,Tuklaty,732,491,487,67,2,0,23,0,54,26,4,1,11,1,0,62,0,0,38,113,0,0,20,1,7,1,3,53,0
533807,Týnec nad Labem,1661,1070,1063,88,2,1,82,3,189,113,8,4,13,7,2,93,0,0,29,312,0,11,21,2,3,1,0,78,1
533815,Uhlířská Lhota,316,225,225,11,0,0,17,0,14,25,1,4,5,1,0,11,0,0,7,84,0,0,8,0,5,0,0,31,1
533823,Veletov,202,122,122,10,0,0,9,0,22,12,0,2,1,0,0,8,0,0,4,26,0,2,5,0,0,0,0,21,0
533831,Velim,1698,1099,1087,108,1,0,84,0,193,76,11,7,12,1,1,93,0,2,30,306,0,1,49,0,7,4,1,97,3
533840,Velký Osek,1854,1191,1187,103,6,0,108,1,159,68,19,4,29,0,1,126,0,1,39,356,0,2,28,1,24,0,6,101,5
533858,Veltruby,1143,755,750,55,23,0,41,0,153,55,8,2,13,0,0,64,0,1,25,205,0,1,13,0,2,0,0,76,13
533866,Vitice,872,471,470,54,2,0,29,4,38,81,6,5,3,2,0,54,0,1,14,121,1,0,3,0,1,2,2,47,0
533882,Volárna,412,236,236,11,0,0,35,0,49,19,0,0,1,0,0,8,1,0,4,78,0,2,0,0,0,0,1,27,0
564826,Vrátkov,213,134,134,14,0,0,15,2,12,7,1,3,1,1,0,17,0,0,9,33,0,0,4,0,3,0,0,11,1
533891,Vrbčany,290,167,167,3,10,0,11,0,24,45,1,5,1,0,1,7,0,1,3,28,0,0,2,0,0,0,0,25,0
513202,Zalešany,93,58,57,6,1,0,1,1,5,5,0,0,0,0,0,6,0,0,2,24,0,1,0,0,0,0,1,4,0
533921,Zásmuky,1516,895,889,86,3,0,61,0,131,114,9,2,27,0,0,81,0,1,33,223,1,4,11,0,3,2,1,94,2
513261,Žabonosy,199,125,125,13,2,0,12,0,14,21,0,5,0,1,0,8,0,0,1,35,0,0,3,0,0,0,0,10,0
513164,Ždánice,287,209,207,28,0,0,9,1,30,14,1,0,3,1,0,9,1,0,9,61,0,3,4,0,2,0,1,29,1
538035,Žehuň,381,238,238,14,2,0,19,0,24,17,1,2,1,0,0,15,0,0,14,95,0,1,0,0,1,2,1,28,1
533947,Žiželice,1106,643,635,56,7,2,53,0,62,70,6,2,12,3,1,46,10,0,8,197,0,2,15,0,3,0,0,78,2
